Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
883,,28.4 °C,18.6 °C,14.1 °C,41.7 %,1 ppm,437 ppm,,,,12/02/2025 12:27:05 a. m.
884,,28.4 °C,18.6 °C,14.1 °C,41.7 %,1 ppm,446 ppm,,,,12/02/2025 12:28:05 a. m.
885,,28.4 °C,18.6 °C,14.1 °C,41.7 %,0 ppm,446 ppm,,,,12/02/2025 12:29:05 a. m.
886,,28.4 °C,18.6 °C,14.1 °C,41.7 %,1 ppm,441 ppm,,,,12/02/2025 12:30:05 a. m.
887,,28.4 °C,18.6 °C,14.1 °C,41.7 %,1 ppm,448 ppm,,,,12/02/2025 12:31:05 a. m.
888,,28.4 °C,18.6 °C,14.1 °C,41.7 %,1 ppm,446 ppm,,,,12/02/2025 12:32:05 a. m.
889,,28.4 °C,18.6 °C,14.1 °C,41.8 %,1 ppm,442 ppm,,,,12/02/2025 12:33:05 a. m.
890,,28.4 °C,18.6 °C,14.1 °C,41.7 %,1 ppm,445 ppm,,,,12/02/2025 12:34:05 a. m.
891,,28.4 °C,18.6 °C,14.1 °C,41.8 %,1 ppm,429 ppm,,,,12/02/2025 12:35:05 a. m.
892,,28.4 °C,18.6 °C,14.1 °C,41.7 %,1 ppm,442 ppm,,,,12/02/2025 12:36:05 a. m.
893,,28.4 °C,18.6 °C,14.1 °C,41.7 %,0 ppm,448 ppm,,,,12/02/2025 12:37:05 a. m.
894,,28.4 °C,18.6 °C,14.1 °C,41.8 %,0 ppm,439 ppm,,,,12/02/2025 12:38:05 a. m.
895,,28.4 °C,18.6 °C,14.1 °C,41.7 %,0 ppm,440 ppm,,,,12/02/2025 12:39:05 a. m.
896,,28.4 °C,18.6 °C,14.1 °C,41.8 %,1 ppm,438 ppm,,,,12/02/2025 12:40:05 a. m.
897,,28.4 °C,18.6 °C,14.1 °C,41.7 %,1 ppm,447 ppm,,,,12/02/2025 12:41:05 a. m.
898,,28.4 °C,18.6 °C,14.1 °C,41.8 %,0 ppm,446 ppm,,,,12/02/2025 12:42:05 a. m.
899,,28.3 °C,18.5 °C,14.0 °C,41.7 %,1 ppm,436 ppm,,,,12/02/2025 12:43:05 a. m.
900,,28.3 °C,18.5 °C,14.0 °C,41.8 %,0 ppm,443 ppm,,,,12/02/2025 12:44:05 a. m.
901,,28.4 °C,18.6 °C,14.1 °C,41.8 %,1 ppm,439 ppm,,,,12/02/2025 12:45:05 a. m.
902,,28.4 °C,18.6 °C,14.1 °C,41.8 %,1 ppm,445 ppm,,,,12/02/2025 12:46:05 a. m.
903,,28.4 °C,18.6 °C,14.1 °C,41.8 %,1 ppm,452 ppm,,,,12/02/2025 12:47:05 a. m.
904,,28.3 °C,18.5 °C,14.0 °C,41.8 %,1 ppm,438 ppm,,,,12/02/2025 12:48:05 a. m.
905,,28.3 °C,18.5 °C,14.0 °C,41.8 %,0 ppm,433 ppm,,,,12/02/2025 12:49:05 a. m.
906,,28.3 °C,18.5 °C,14.0 °C,41.8 %,1 ppm,443 ppm,,,,12/02/2025 12:50:05 a. m.
907,,28.3 °C,18.5 °C,14.0 °C,41.8 %,1 ppm,437 ppm,,,,12/02/2025 12:51:05 a. m.
908,,28.3 °C,18.5 °C,14.0 °C,41.9 %,1 ppm,430 ppm,,,,12/02/2025 12:52:05 a. m.
909,,28.3 °C,18.5 °C,14.0 °C,41.8 %,0 ppm,429 ppm,,,,12/02/2025 12:53:05 a. m.
910,,28.3 °C,18.5 °C,14.0 °C,41.8 %,1 ppm,445 ppm,,,,12/02/2025 12:54:05 a. m.
911,,28.3 °C,18.5 °C,14.0 °C,41.8 %,1 ppm,441 ppm,,,,12/02/2025 12:55:05 a. m.
912,,28.3 °C,18.5 °C,14.0 °C,41.8 %,1 ppm,441 ppm,,,,12/02/2025 12:56:05 a. m.
913,,28.3 °C,18.6 °C,14.1 °C,41.8 %,0 ppm,447 ppm,,,,12/02/2025 12:57:05 a. m.
914,,28.3 °C,18.6 °C,14.1 °C,41.9 %,1 ppm,444 ppm,,,,12/02/2025 12:58:05 a. m.
915,,28.3 °C,18.6 °C,14.1 °C,41.9 %,1 ppm,427 ppm,,,,12/02/2025 12:59:05 a. m.
916,,28.3 °C,18.6 °C,14.1 °C,41.9 %,0 ppm,431 ppm,,,,12/02/2025 01:00:05 a. m.
917,,28.3 °C,18.6 °C,14.1 °C,41.9 %,1 ppm,440 ppm,,,,12/02/2025 01:01:05 a. m.
918,,28.3 °C,18.6 °C,14.1 °C,41.9 %,1 ppm,443 ppm,,,,12/02/2025 01:02:05 a. m.
919,,28.3 °C,18.6 °C,14.1 °C,41.9 %,1 ppm,441 ppm,,,,12/02/2025 01:03:05 a. m.
920,,28.3 °C,18.6 °C,14.1 °C,41.9 %,0 ppm,441 ppm,,,,12/02/2025 01:04:05 a. m.
921,,28.3 °C,18.5 °C,14.0 °C,41.8 %,0 ppm,445 ppm,,,,12/02/2025 01:05:05 a. m.
922,,28.2 °C,18.5 °C,14.0 °C,41.9 %,1 ppm,436 ppm,,,,12/02/2025 01:06:05 a. m.
923,,28.2 °C,18.5 °C,14.0 °C,41.9 %,1 ppm,442 ppm,,,,12/02/2025 01:07:05 a. m.
924,,28.2 °C,18.5 °C,14.0 °C,42.0 %,1 ppm,437 ppm,,,,12/02/2025 01:08:05 a. m.
925,,28.2 °C,18.5 °C,14.0 °C,42.0 %,1 ppm,437 ppm,,,,12/02/2025 01:09:05 a. m.
926,,28.2 °C,18.5 °C,14.0 °C,42.0 %,1 ppm,440 ppm,,,,12/02/2025 01:10:05 a. m.
927,,28.2 °C,18.5 °C,14.0 °C,42.0 %,1 ppm,440 ppm,,,,12/02/2025 01:11:05 a. m.
928,,28.2 °C,18.5 °C,14.0 °C,42.0 %,1 ppm,439 ppm,,,,12/02/2025 01:12:05 a. m.
929,,28.2 °C,18.5 °C,14.0 °C,42.0 %,1 ppm,429 ppm,,,,12/02/2025 01:13:05 a. m.
930,,28.2 °C,18.5 °C,14.0 °C,42.0 %,1 ppm,439 ppm,,,,12/02/2025 01:14:05 a. m.
931,,28.2 °C,18.5 °C,14.0 °C,42.0 %,0 ppm,451 ppm,,,,12/02/2025 01:15:05 a. m.
932,,28.2 °C,18.5 °C,14.0 °C,42.0 %,1 ppm,440 ppm,,,,12/02/2025 01:16:05 a. m.
933,,28.2 °C,18.5 °C,14.0 °C,42.0 %,0 ppm,449 ppm,,,,12/02/2025 01:17:05 a. m.
934,,28.2 °C,18.5 °C,14.0 °C,42.0 %,1 ppm,442 ppm,,,,12/02/2025 01:18:05 a. m.
935,,28.2 °C,18.5 °C,14.0 °C,42.0 %,1 ppm,439 ppm,,,,12/02/2025 01:19:05 a. m.
936,,28.2 °C,18.5 °C,14.0 °C,41.9 %,1 ppm,438 ppm,,,,12/02/2025 01:20:05 a. m.
937,,28.2 °C,18.5 °C,14.0 °C,41.9 %,0 ppm,439 ppm,,,,12/02/2025 01:21:05 a. m.
938,,28.2 °C,18.5 °C,14.0 °C,42.0 %,1 ppm,434 ppm,,,,12/02/2025 01:22:05 a. m.
939,,28.2 °C,18.5 °C,14.0 °C,42.0 %,1 ppm,437 ppm,,,,12/02/2025 01:23:05 a. m.
940,,28.1 °C,18.5 °C,14.0 °C,42.1 %,1 ppm,446 ppm,,,,12/02/2025 01:24:05 a. m.
941,,28.1 °C,18.5 °C,14.0 °C,42.1 %,1 ppm,441 ppm,,,,12/02/2025 01:25:05 a. m.
942,,28.1 °C,18.5 °C,14.0 °C,42.1 %,0 ppm,434 ppm,,,,12/02/2025 01:26:05 a. m.
943,,28.1 °C,18.5 °C,14.0 °C,42.2 %,1 ppm,440 ppm,,,,12/02/2025 01:27:05 a. m.
944,,28.1 °C,18.5 °C,14.0 °C,42.1 %,0 ppm,453 ppm,,,,12/02/2025 01:28:05 a. m.
945,,28.1 °C,18.5 °C,14.0 °C,42.1 %,0 ppm,439 ppm,,,,12/02/2025 01:29:05 a. m.
946,,28.1 °C,18.5 °C,14.0 °C,42.1 %,0 ppm,441 ppm,,,,12/02/2025 01:30:05 a. m.
947,,28.1 °C,18.5 °C,14.0 °C,42.1 %,1 ppm,433 ppm,,,,12/02/2025 01:31:05 a. m.
948,,28.1 °C,18.5 °C,14.0 °C,42.1 %,1 ppm,443 ppm,,,,12/02/2025 01:32:05 a. m.
949,,28.1 °C,18.5 °C,14.0 °C,42.2 %,1 ppm,435 ppm,,,,12/02/2025 01:33:05 a. m.
950,,28.1 °C,18.5 °C,14.0 °C,42.1 %,0 ppm,435 ppm,,,,12/02/2025 01:34:05 a. m.
951,,28.1 °C,18.5 °C,14.0 °C,42.2 %,1 ppm,449 ppm,,,,12/02/2025 01:35:05 a. m.
952,,28.1 °C,18.5 °C,14.0 °C,42.1 %,1 ppm,443 ppm,,,,12/02/2025 01:36:05 a. m.
953,,28.1 °C,18.5 °C,14.0 °C,42.2 %,1 ppm,436 ppm,,,,12/02/2025 01:37:05 a. m.
954,,28.1 °C,18.4 °C,13.9 °C,42.2 %,1 ppm,440 ppm,,,,12/02/2025 01:38:05 a. m.
955,,28.1 °C,18.5 °C,14.0 °C,42.2 %,0 ppm,438 ppm,,,,12/02/2025 01:39:05 a. m.
956,,28.1 °C,18.5 °C,14.0 °C,42.2 %,1 ppm,427 ppm,,,,12/02/2025 01:40:05 a. m.
957,,28.1 °C,18.5 °C,14.0 °C,42.3 %,0 ppm,436 ppm,,,,12/02/2025 01:41:05 a. m.
958,,28.0 °C,18.4 °C,13.9 °C,42.3 %,1 ppm,439 ppm,,,,12/02/2025 01:42:05 a. m.
959,,28.1 °C,18.5 °C,14.0 °C,42.2 %,0 ppm,433 ppm,,,,12/02/2025 01:43:05 a. m.
960,,28.1 °C,18.5 °C,14.0 °C,42.2 %,1 ppm,441 ppm,,,,12/02/2025 01:44:05 a. m.
961,,28.1 °C,18.5 °C,14.0 °C,42.2 %,0 ppm,450 ppm,,,,12/02/2025 01:45:05 a. m.
962,,28.1 °C,18.5 °C,14.0 °C,42.2 %,0 ppm,430 ppm,,,,12/02/2025 01:46:05 a. m.
963,,28.1 °C,18.5 °C,14.0 °C,42.2 %,1 ppm,435 ppm,,,,12/02/2025 01:47:05 a. m.
964,,28.0 °C,18.5 °C,14.0 °C,42.2 %,1 ppm,429 ppm,,,,12/02/2025 01:48:05 a. m.
965,,28.0 °C,18.4 °C,13.9 °C,42.3 %,0 ppm,438 ppm,,,,12/02/2025 01:49:05 a. m.
966,,28.0 °C,18.4 °C,13.9 °C,42.3 %,1 ppm,433 ppm,,,,12/02/2025 01:50:05 a. m.
967,,28.0 °C,18.4 °C,13.9 °C,42.3 %,0 ppm,446 ppm,,,,12/02/2025 01:51:05 a. m.
968,,28.1 °C,18.5 °C,14.0 °C,42.2 %,1 ppm,443 ppm,,,,12/02/2025 01:52:05 a. m.
969,,28.0 °C,18.4 °C,13.9 °C,42.3 %,1 ppm,442 ppm,,,,12/02/2025 01:53:05 a. m.
970,,28.0 °C,18.4 °C,14.0 °C,42.4 %,1 ppm,443 ppm,,,,12/02/2025 01:54:05 a. m.
971,,28.0 °C,18.4 °C,14.0 °C,42.4 %,1 ppm,445 ppm,,,,12/02/2025 01:55:05 a. m.
972,,28.0 °C,18.4 °C,14.0 °C,42.4 %,0 ppm,437 ppm,,,,12/02/2025 01:56:05 a. m.
973,,28.0 °C,18.4 °C,14.0 °C,42.4 %,0 ppm,436 ppm,,,,12/02/2025 01:57:05 a. m.
974,,28.0 °C,18.4 °C,14.0 °C,42.4 %,0 ppm,431 ppm,,,,12/02/2025 01:58:05 a. m.
975,,28.0 °C,18.4 °C,14.0 °C,42.4 %,1 ppm,438 ppm,,,,12/02/2025 01:59:05 a. m.
976,,28.0 °C,18.4 °C,14.0 °C,42.5 %,0 ppm,434 ppm,,,,12/02/2025 02:00:05 a. m.
977,,28.0 °C,18.4 °C,14.0 °C,42.5 %,1 ppm,442 ppm,,,,12/02/2025 02:01:05 a. m.
978,,28.0 °C,18.4 °C,14.0 °C,42.5 %,0 ppm,436 ppm,,,,12/02/2025 02:02:05 a. m.
979,,28.0 °C,18.4 °C,14.0 °C,42.5 %,1 ppm,433 ppm,,,,12/02/2025 02:03:05 a. m.
980,,28.0 °C,18.4 °C,14.0 °C,42.5 %,1 ppm,445 ppm,,,,12/02/2025 02:04:05 a. m.
981,,28.0 °C,18.4 °C,14.0 °C,42.5 %,1 ppm,438 ppm,,,,12/02/2025 02:05:05 a. m.
982,,28.0 °C,18.4 °C,14.0 °C,42.5 %,1 ppm,438 ppm,,,,12/02/2025 02:06:05 a. m.
983,,28.0 °C,18.4 °C,14.0 °C,42.5 %,0 ppm,435 ppm,,,,12/02/2025 02:07:05 a. m.
984,,27.9 °C,18.4 °C,14.0 °C,42.5 %,0 ppm,438 ppm,,,,12/02/2025 02:08:05 a. m.
985,,27.9 °C,18.3 °C,13.9 °C,42.5 %,0 ppm,456 ppm,,,,12/02/2025 02:09:05 a. m.
986,,27.9 °C,18.4 °C,13.9 °C,42.5 %,1 ppm,443 ppm,,,,12/02/2025 02:10:05 a. m.
987,,27.9 °C,18.4 °C,13.9 °C,42.5 %,1 ppm,448 ppm,,,,12/02/2025 02:11:05 a. m.
988,,27.9 °C,18.3 °C,13.9 °C,42.5 %,1 ppm,443 ppm,,,,12/02/2025 02:12:05 a. m.
989,,27.9 °C,18.3 °C,13.9 °C,42.5 %,1 ppm,453 ppm,,,,12/02/2025 02:13:05 a. m.
990,,27.9 °C,18.4 °C,13.9 °C,42.5 %,1 ppm,442 ppm,,,,12/02/2025 02:14:05 a. m.
991,,27.9 °C,18.4 °C,13.9 °C,42.5 %,1 ppm,436 ppm,,,,12/02/2025 02:15:05 a. m.
992,,27.9 °C,18.3 °C,13.9 °C,42.5 %,0 ppm,446 ppm,,,,12/02/2025 02:16:05 a. m.
993,,27.9 °C,18.4 °C,14.0 °C,42.6 %,1 ppm,438 ppm,,,,12/02/2025 02:17:05 a. m.
994,,27.9 °C,18.4 °C,13.9 °C,42.5 %,1 ppm,443 ppm,,,,12/02/2025 02:18:05 a. m.
995,,27.9 °C,18.4 °C,13.9 °C,42.5 %,1 ppm,426 ppm,,,,12/02/2025 02:19:05 a. m.
996,,27.9 °C,18.4 °C,13.9 °C,42.5 %,0 ppm,432 ppm,,,,12/02/2025 02:20:05 a. m.
997,,27.9 °C,18.4 °C,13.9 °C,42.5 %,1 ppm,444 ppm,,,,12/02/2025 02:21:05 a. m.
998,,27.9 °C,18.4 °C,13.9 °C,42.5 %,1 ppm,445 ppm,,,,12/02/2025 02:22:05 a. m.
999,,27.9 °C,18.4 °C,13.9 °C,42.5 %,1 ppm,436 ppm,,,,12/02/2025 02:23:05 a. m.
1000,,27.9 °C,18.3 °C,13.9 °C,42.4 %,0 ppm,447 ppm,,,,12/02/2025 02:24:05 a. m.
1001,,27.9 °C,18.3 °C,13.9 °C,42.4 %,1 ppm,441 ppm,,,,12/02/2025 02:25:05 a. m.
1002,,27.9 °C,18.3 °C,13.9 °C,42.5 %,1 ppm,438 ppm,,,,12/02/2025 02:26:05 a. m.
1003,,27.9 °C,18.3 °C,13.9 °C,42.5 %,1 ppm,438 ppm,,,,12/02/2025 02:27:05 a. m.
1004,,27.9 °C,18.4 °C,14.0 °C,42.6 %,1 ppm,435 ppm,,,,12/02/2025 02:28:05 a. m.
1005,,27.8 °C,18.3 °C,13.9 °C,42.6 %,1 ppm,440 ppm,,,,12/02/2025 02:29:05 a. m.
1006,,27.8 °C,18.3 °C,13.9 °C,42.6 %,0 ppm,431 ppm,,,,12/02/2025 02:30:05 a. m.
1007,,27.9 °C,18.4 °C,13.9 °C,42.6 %,1 ppm,452 ppm,,,,12/02/2025 02:31:05 a. m.
1008,,27.9 °C,18.4 °C,13.9 °C,42.6 %,0 ppm,445 ppm,,,,12/02/2025 02:32:05 a. m.
1009,,27.9 °C,18.4 °C,13.9 °C,42.5 %,1 ppm,443 ppm,,,,12/02/2025 02:33:05 a. m.
1010,,27.9 °C,18.4 °C,13.9 °C,42.5 %,1 ppm,444 ppm,,,,12/02/2025 02:34:05 a. m.
1011,,27.8 °C,18.3 °C,13.9 °C,42.6 %,1 ppm,445 ppm,,,,12/02/2025 02:35:05 a. m.
1012,,27.8 °C,18.3 °C,13.9 °C,42.6 %,1 ppm,437 ppm,,,,12/02/2025 02:36:05 a. m.
1013,,27.8 °C,18.3 °C,13.9 °C,42.6 %,1 ppm,433 ppm,,,,12/02/2025 02:37:05 a. m.
1014,,27.8 °C,18.3 °C,13.9 °C,42.7 %,1 ppm,436 ppm,,,,12/02/2025 02:38:05 a. m.
1015,,27.8 °C,18.3 °C,13.9 °C,42.6 %,1 ppm,440 ppm,,,,12/02/2025 02:39:05 a. m.
1016,,27.8 °C,18.3 °C,13.9 °C,42.7 %,0 ppm,431 ppm,,,,12/02/2025 02:40:05 a. m.
1017,,27.8 °C,18.3 °C,13.9 °C,42.6 %,0 ppm,446 ppm,,,,12/02/2025 02:41:05 a. m.
1018,,27.8 °C,18.3 °C,13.9 °C,42.7 %,1 ppm,450 ppm,,,,12/02/2025 02:42:05 a. m.
1019,,27.8 °C,18.3 °C,13.9 °C,42.6 %,0 ppm,439 ppm,,,,12/02/2025 02:43:05 a. m.
1020,,27.8 °C,18.3 °C,13.9 °C,42.6 %,1 ppm,435 ppm,,,,12/02/2025 02:44:05 a. m.
1021,,27.8 °C,18.3 °C,13.9 °C,42.6 %,1 ppm,430 ppm,,,,12/02/2025 02:45:05 a. m.
1022,,27.8 °C,18.3 °C,13.9 °C,42.6 %,0 ppm,439 ppm,,,,12/02/2025 02:46:05 a. m.
1023,,27.8 °C,18.3 °C,13.9 °C,42.6 %,1 ppm,430 ppm,,,,12/02/2025 02:47:05 a. m.
1024,,27.8 °C,18.3 °C,13.9 °C,42.7 %,1 ppm,432 ppm,,,,12/02/2025 02:48:05 a. m.
1025,,27.8 °C,18.3 °C,13.9 °C,42.7 %,1 ppm,437 ppm,,,,12/02/2025 02:49:05 a. m.
1026,,27.8 °C,18.3 °C,13.9 °C,42.6 %,0 ppm,434 ppm,,,,12/02/2025 02:50:05 a. m.
1027,,27.7 °C,18.2 °C,13.8 °C,42.7 %,0 ppm,446 ppm,,,,12/02/2025 02:51:05 a. m.
1028,,27.7 °C,18.2 °C,13.8 °C,42.7 %,0 ppm,435 ppm,,,,12/02/2025 02:52:05 a. m.
1029,,27.7 °C,18.2 °C,13.8 °C,42.7 %,1 ppm,434 ppm,,,,12/02/2025 02:53:05 a. m.
1030,,27.7 °C,18.2 °C,13.8 °C,42.7 %,1 ppm,442 ppm,,,,12/02/2025 02:54:05 a. m.
1031,,27.8 °C,18.3 °C,13.9 °C,42.6 %,0 ppm,439 ppm,,,,12/02/2025 02:55:05 a. m.
1032,,27.7 °C,18.2 °C,13.8 °C,42.7 %,0 ppm,437 ppm,,,,12/02/2025 02:56:05 a. m.
1033,,27.7 °C,18.2 °C,13.8 °C,42.6 %,0 ppm,440 ppm,,,,12/02/2025 02:57:05 a. m.
1034,,27.7 °C,18.2 °C,13.8 °C,42.7 %,1 ppm,429 ppm,,,,12/02/2025 02:58:05 a. m.
1035,,27.7 °C,18.2 °C,13.8 °C,42.6 %,1 ppm,427 ppm,,,,12/02/2025 02:59:05 a. m.
1036,,27.7 °C,18.2 °C,13.8 °C,42.7 %,0 ppm,444 ppm,,,,12/02/2025 03:00:05 a. m.
1037,,27.7 °C,18.2 °C,13.8 °C,42.6 %,1 ppm,442 ppm,,,,12/02/2025 03:01:05 a. m.
1038,,27.7 °C,18.2 °C,13.8 °C,42.7 %,1 ppm,441 ppm,,,,12/02/2025 03:02:05 a. m.
1039,,27.7 °C,18.2 °C,13.8 °C,42.6 %,0 ppm,434 ppm,,,,12/02/2025 03:03:05 a. m.
1040,,27.7 °C,18.2 °C,13.8 °C,42.6 %,1 ppm,433 ppm,,,,12/02/2025 03:04:05 a. m.
1041,,27.7 °C,18.2 °C,13.8 °C,42.7 %,0 ppm,435 ppm,,,,12/02/2025 03:05:05 a. m.
1042,,27.7 °C,18.2 °C,13.8 °C,42.5 %,1 ppm,438 ppm,,,,12/02/2025 03:06:05 a. m.
1043,,27.7 °C,18.2 °C,13.8 °C,42.6 %,1 ppm,452 ppm,,,,12/02/2025 03:07:05 a. m.
1044,,27.7 °C,18.2 °C,13.8 °C,42.6 %,1 ppm,429 ppm,,,,12/02/2025 03:08:05 a. m.
1045,,27.7 °C,18.2 °C,13.8 °C,42.6 %,1 ppm,443 ppm,,,,12/02/2025 03:09:05 a. m.
1046,,27.7 °C,18.2 °C,13.8 °C,42.6 %,0 ppm,438 ppm,,,,12/02/2025 03:10:05 a. m.
1047,,27.7 °C,18.2 °C,13.8 °C,42.6 %,1 ppm,430 ppm,,,,12/02/2025 03:11:05 a. m.
1048,,27.7 °C,18.2 °C,13.8 °C,42.7 %,1 ppm,429 ppm,,,,12/02/2025 03:12:05 a. m.
1049,,27.7 °C,18.2 °C,13.8 °C,42.6 %,1 ppm,440 ppm,,,,12/02/2025 03:13:05 a. m.
1050,,27.6 °C,18.2 °C,13.7 °C,42.7 %,1 ppm,429 ppm,,,,12/02/2025 03:14:05 a. m.
1051,,27.6 °C,18.2 °C,13.7 °C,42.7 %,1 ppm,431 ppm,,,,12/02/2025 03:15:05 a. m.
1052,,27.6 °C,18.2 °C,13.7 °C,42.7 %,1 ppm,434 ppm,,,,12/02/2025 03:16:05 a. m.
1053,,27.6 °C,18.2 °C,13.7 °C,42.7 %,1 ppm,445 ppm,,,,12/02/2025 03:17:05 a. m.
1054,,27.6 °C,18.2 °C,13.7 °C,42.7 %,1 ppm,433 ppm,,,,12/02/2025 03:18:05 a. m.
1055,,27.6 °C,18.2 °C,13.8 °C,42.8 %,1 ppm,439 ppm,,,,12/02/2025 03:19:05 a. m.
1056,,27.6 °C,18.2 °C,13.7 °C,42.7 %,0 ppm,426 ppm,,,,12/02/2025 03:20:05 a. m.
1057,,27.6 °C,18.2 °C,13.7 °C,42.7 %,1 ppm,427 ppm,,,,12/02/2025 03:21:05 a. m.
1058,,27.6 °C,18.2 °C,13.7 °C,42.7 %,1 ppm,440 ppm,,,,12/02/2025 03:22:05 a. m.
1059,,27.6 °C,18.2 °C,13.7 °C,42.7 %,1 ppm,436 ppm,,,,12/02/2025 03:23:05 a. m.
1060,,27.6 °C,18.2 °C,13.7 °C,42.7 %,0 ppm,434 ppm,,,,12/02/2025 03:24:05 a. m.
1061,,27.6 °C,18.2 °C,13.7 °C,42.7 %,0 ppm,427 ppm,,,,12/02/2025 03:25:05 a. m.
1062,,27.6 °C,18.2 °C,13.7 °C,42.7 %,0 ppm,440 ppm,,,,12/02/2025 03:26:05 a. m.
1063,,27.6 °C,18.2 °C,13.7 °C,42.7 %,0 ppm,428 ppm,,,,12/02/2025 03:27:05 a. m.
1064,,27.6 °C,18.2 °C,13.7 °C,42.6 %,0 ppm,438 ppm,,,,12/02/2025 03:28:05 a. m.
1065,,27.6 °C,18.2 °C,13.7 °C,42.7 %,0 ppm,439 ppm,,,,12/02/2025 03:29:05 a. m.
1066,,27.6 °C,18.2 °C,13.7 °C,42.7 %,0 ppm,434 ppm,,,,12/02/2025 03:30:05 a. m.
1067,,27.6 °C,18.2 °C,13.7 °C,42.7 %,1 ppm,439 ppm,,,,12/02/2025 03:31:05 a. m.
1068,,27.6 °C,18.2 °C,13.7 °C,42.7 %,1 ppm,439 ppm,,,,12/02/2025 03:32:05 a. m.
1069,,27.6 °C,18.2 °C,13.7 °C,42.7 %,0 ppm,447 ppm,,,,12/02/2025 03:33:05 a. m.
1070,,27.6 °C,18.2 °C,13.7 °C,42.7 %,1 ppm,430 ppm,,,,12/02/2025 03:34:05 a. m.
1071,,27.5 °C,18.1 °C,13.7 °C,42.7 %,1 ppm,437 ppm,,,,12/02/2025 03:35:05 a. m.
1072,,27.6 °C,18.2 °C,13.7 °C,42.7 %,1 ppm,443 ppm,,,,12/02/2025 03:36:05 a. m.
1073,,27.6 °C,18.1 °C,13.7 °C,42.7 %,0 ppm,439 ppm,,,,12/02/2025 03:37:05 a. m.
1074,,27.6 °C,18.1 °C,13.7 °C,42.8 %,1 ppm,443 ppm,,,,12/02/2025 03:38:05 a. m.
1075,,27.6 °C,18.2 °C,13.7 °C,42.7 %,1 ppm,434 ppm,,,,12/02/2025 03:39:05 a. m.
1076,,27.5 °C,18.1 °C,13.7 °C,42.8 %,1 ppm,441 ppm,,,,12/02/2025 03:40:05 a. m.
1077,,27.5 °C,18.1 °C,13.7 °C,42.8 %,0 ppm,429 ppm,,,,12/02/2025 03:41:05 a. m.
1078,,27.5 °C,18.1 °C,13.7 °C,42.8 %,1 ppm,432 ppm,,,,12/02/2025 03:42:05 a. m.
1079,,27.5 °C,18.1 °C,13.7 °C,42.7 %,1 ppm,431 ppm,,,,12/02/2025 03:43:05 a. m.
1080,,27.5 °C,18.1 °C,13.7 °C,42.8 %,0 ppm,438 ppm,,,,12/02/2025 03:44:05 a. m.
1081,,27.5 °C,18.1 °C,13.7 °C,42.8 %,0 ppm,428 ppm,,,,12/02/2025 03:45:05 a. m.
1082,,27.5 °C,18.1 °C,13.6 °C,42.7 %,0 ppm,437 ppm,,,,12/02/2025 03:46:05 a. m.
1083,,27.5 °C,18.1 °C,13.7 °C,42.7 %,1 ppm,437 ppm,,,,12/02/2025 03:47:05 a. m.
1084,,27.5 °C,18.1 °C,13.7 °C,42.7 %,1 ppm,433 ppm,,,,12/02/2025 03:48:05 a. m.
1085,,27.5 °C,18.1 °C,13.7 °C,42.7 %,0 ppm,433 ppm,,,,12/02/2025 03:49:05 a. m.
1086,,27.5 °C,18.1 °C,13.6 °C,42.7 %,0 ppm,427 ppm,,,,12/02/2025 03:50:05 a. m.
1087,,27.5 °C,18.1 °C,13.7 °C,42.7 %,0 ppm,435 ppm,,,,12/02/2025 03:51:05 a. m.
1088,,27.5 °C,18.1 °C,13.7 °C,42.7 %,0 ppm,426 ppm,,,,12/02/2025 03:52:05 a. m.
1089,,27.5 °C,18.1 °C,13.7 °C,42.7 %,1 ppm,435 ppm,,,,12/02/2025 03:53:05 a. m.
1090,,27.5 °C,18.1 °C,13.7 °C,42.8 %,0 ppm,437 ppm,,,,12/02/2025 03:54:05 a. m.
1091,,27.5 °C,18.1 °C,13.7 °C,42.8 %,0 ppm,444 ppm,,,,12/02/2025 03:55:05 a. m.
1092,,27.5 °C,18.1 °C,13.7 °C,42.8 %,0 ppm,431 ppm,,,,12/02/2025 03:56:05 a. m.
1093,,27.5 °C,18.1 °C,13.7 °C,42.7 %,0 ppm,433 ppm,,,,12/02/2025 03:57:05 a. m.
1094,,27.5 °C,18.1 °C,13.6 °C,42.7 %,1 ppm,438 ppm,,,,12/02/2025 03:58:05 a. m.
1095,,27.5 °C,18.1 °C,13.6 °C,42.7 %,0 ppm,433 ppm,,,,12/02/2025 03:59:05 a. m.
1096,,27.5 °C,18.1 °C,13.7 °C,42.7 %,1 ppm,440 ppm,,,,12/02/2025 04:00:05 a. m.
1097,,27.4 °C,18.0 °C,13.6 °C,42.7 %,0 ppm,444 ppm,,,,12/02/2025 04:01:05 a. m.
1098,,27.4 °C,18.0 °C,13.6 °C,42.8 %,1 ppm,431 ppm,,,,12/02/2025 04:02:05 a. m.
1099,,27.5 °C,18.1 °C,13.7 °C,42.7 %,1 ppm,435 ppm,,,,12/02/2025 04:03:05 a. m.
1100,,27.5 °C,18.1 °C,13.7 °C,42.7 %,1 ppm,435 ppm,,,,12/02/2025 04:04:05 a. m.
1101,,27.5 °C,18.1 °C,13.6 °C,42.7 %,1 ppm,434 ppm,,,,12/02/2025 04:05:05 a. m.
